K,err_rate
5,0.03773584905660377
7,0.03773584905660377
9,0.03773584905660377
11,0.03773584905660377
13,0.03773584905660377
15,0.03773584905660377
17,0.018867924528301886
19,0.03773584905660377
21,0.03773584905660377
23,0.018867924528301886
25,0.03773584905660377
27,0.03773584905660377
29,0.03773584905660377
1,0.034482758620689655
3,0.017241379310344827
5,0.017241379310344827
7,0.034482758620689655
9,0.034482758620689655
11,0.06896551724137931
13,0.06896551724137931
15,0.06896551724137931
17,0.06896551724137931
19,0.08620689655172414
21,0.08620689655172414
23,0.08620689655172414
25,0.08620689655172414
27,0.08620689655172414
29,0.08620689655172414
1,0.06451612903225806
3,0.06451612903225806
5,0.06451612903225806
7,0.016129032258064516
9,0.03225806451612903
11,0.06451612903225806
13,0.06451612903225806
15,0.04838709677419355
17,0.04838709677419355
19,0.04838709677419355
21,0.03225806451612903
23,0.03225806451612903
25,0.06451612903225806
27,0.06451612903225806
29,0.04838709677419355
1,0.04918032786885246
3,0.04918032786885246
5,0.03278688524590164
7,0.01639344262295082
9,0.01639344262295082
11,0.01639344262295082
13,0.01639344262295082
15,0.01639344262295082
17,0.01639344262295082
19,0.01639344262295082
21,0.01639344262295082
23,0.01639344262295082
25,0.01639344262295082
27,0.01639344262295082
29,0.01639344262295082
1,0.05172413793103448
3,0.034482758620689655
5,0.034482758620689655
7,0.034482758620689655
9,0.034482758620689655
11,0.034482758620689655
13,0.034482758620689655
15,0.034482758620689655
17,0.034482758620689655
19,0.034482758620689655
21,0.05172413793103448
23,0.05172413793103448
25,0.034482758620689655
27,0.034482758620689655
29,0.034482758620689655
1,0.057692307692307696
3,0.057692307692307696
5,0.09615384615384616
7,0.09615384615384616
9,0.09615384615384616
11,0.07692307692307693
13,0.057692307692307696
15,0.057692307692307696
17,0.057692307692307696
19,0.07692307692307693
21,0.11538461538461539
23,0.07692307692307693
25,0.07692307692307693
27,0.07692307692307693
29,0.07692307692307693
1,0.03571428571428571
3,0.017857142857142856
5,0.017857142857142856
7,0.05357142857142857
9,0.07142857142857142
11,0.07142857142857142
13,0.07142857142857142
15,0.07142857142857142
17,0.07142857142857142
19,0.07142857142857142
21,0.05357142857142857
23,0.05357142857142857
25,0.03571428571428571
27,0.08928571428571429
29,0.08928571428571429
1,0.06666666666666667
3,0.08333333333333333
5,0.05
7,0.03333333333333333
9,0.03333333333333333
11,0.016666666666666666
13,0.016666666666666666
15,0.016666666666666666
17,0.016666666666666666
19,0.016666666666666666
21,0.016666666666666666
23,0.03333333333333333
25,0.05
27,0.05
29,0.03333333333333333
1,0.017543859649122806
3,0.03508771929824561
5,0.03508771929824561
7,0.03508771929824561
9,0.017543859649122806
11,0.03508771929824561
13,0.03508771929824561
15,0.03508771929824561
17,0.03508771929824561
19,0.03508771929824561
21,0.03508771929824561
23,0.05263157894736842
25,0.03508771929824561
27,0.05263157894736842
29,0.07017543859649122
1,0.05263157894736842
3,0.05263157894736842
5,0.03508771929824561
7,0.017543859649122806
9,0.0
11,0.0
13,0.0
15,0.0
17,0.0
19,0.0
21,0.0
23,0.0
25,0.0
27,0.0
29,0.017543859649122806
1,0.0
3,0.0
5,0.0
7,0.0
9,0.0
11,0.0
13,0.0
15,0.0
17,0.0
19,0.0196078431372549
21,0.0196078431372549
23,0.0196078431372549
25,0.0196078431372549
27,0.0392156862745098
29,0.0196078431372549
1,0.03225806451612903
3,0.03225806451612903
5,0.03225806451612903
7,0.03225806451612903
9,0.04838709677419355
11,0.06451612903225806
13,0.04838709677419355
15,0.06451612903225806
17,0.06451612903225806
19,0.06451612903225806
21,0.08064516129032258
23,0.08064516129032258
25,0.0967741935483871
27,0.08064516129032258
29,0.0967741935483871
1,0.05555555555555555
3,0.07407407407407407
5,0.05555555555555555
7,0.05555555555555555
9,0.07407407407407407
11,0.07407407407407407
13,0.07407407407407407
15,0.07407407407407407
17,0.07407407407407407
19,0.07407407407407407
21,0.09259259259259259
23,0.09259259259259259
25,0.09259259259259259
27,0.1111111111111111
29,0.1111111111111111
1,0.038461538461538464
3,0.038461538461538464
5,0.038461538461538464
7,0.038461538461538464
9,0.057692307692307696
11,0.057692307692307696
13,0.038461538461538464
15,0.057692307692307696
17,0.07692307692307693
19,0.07692307692307693
21,0.07692307692307693
23,0.038461538461538464
25,0.07692307692307693
27,0.09615384615384616
29,0.09615384615384616
1,0.09090909090909091
3,0.06818181818181818
5,0.06818181818181818
7,0.06818181818181818
9,0.045454545454545456
11,0.045454545454545456
13,0.06818181818181818
15,0.045454545454545456
17,0.045454545454545456
19,0.045454545454545456
21,0.045454545454545456
23,0.045454545454545456
25,0.06818181818181818
27,0.06818181818181818
29,0.06818181818181818
1,0.03333333333333333
3,0.05
5,0.05
7,0.03333333333333333
9,0.03333333333333333
11,0.016666666666666666
13,0.03333333333333333
15,0.05
17,0.05
19,0.06666666666666667
21,0.05
23,0.06666666666666667
25,0.06666666666666667
27,0.06666666666666667
29,0.05
1,0.05555555555555555
3,0.037037037037037035
5,0.018518518518518517
7,0.05555555555555555
9,0.05555555555555555
11,0.037037037037037035
13,0.018518518518518517
15,0.037037037037037035
17,0.037037037037037035
19,0.037037037037037035
21,0.037037037037037035
23,0.018518518518518517
25,0.05555555555555555
27,0.037037037037037035
29,0.018518518518518517
1,0.05357142857142857
3,0.05357142857142857
5,0.017857142857142856
7,0.017857142857142856
9,0.017857142857142856
11,0.017857142857142856
13,0.03571428571428571
15,0.017857142857142856
17,0.03571428571428571
19,0.03571428571428571
21,0.03571428571428571
23,0.03571428571428571
25,0.03571428571428571
27,0.03571428571428571
29,0.05357142857142857
1,0.0
3,0.017241379310344827
5,0.0
7,0.0
9,0.034482758620689655
11,0.0
13,0.017241379310344827
15,0.017241379310344827
17,0.017241379310344827
19,0.017241379310344827
21,0.034482758620689655
23,0.017241379310344827
25,0.017241379310344827
27,0.017241379310344827
29,0.017241379310344827
1,0.07692307692307693
3,0.07692307692307693
5,0.038461538461538464
7,0.07692307692307693
9,0.07692307692307693
11,0.07692307692307693
13,0.07692307692307693
15,0.057692307692307696
17,0.038461538461538464
19,0.038461538461538464
21,0.057692307692307696
23,0.057692307692307696
25,0.07692307692307693
27,0.057692307692307696
29,0.07692307692307693
1,0.031746031746031744
3,0.031746031746031744
5,0.047619047619047616
7,0.031746031746031744
9,0.031746031746031744
11,0.031746031746031744
13,0.047619047619047616
15,0.047619047619047616
17,0.031746031746031744
19,0.031746031746031744
21,0.06349206349206349
23,0.047619047619047616
25,0.06349206349206349
27,0.06349206349206349
29,0.06349206349206349
1,0.0
3,0.01818181818181818
5,0.01818181818181818
7,0.01818181818181818
9,0.0
11,0.0
13,0.0
15,0.0
17,0.0
19,0.0
21,0.0
23,0.0
25,0.0
27,0.0
29,0.0
1,0.02040816326530612
3,0.02040816326530612
5,0.02040816326530612
7,0.02040816326530612
9,0.04081632653061224
11,0.02040816326530612
13,0.02040816326530612
15,0.02040816326530612
17,0.02040816326530612
19,0.04081632653061224
21,0.02040816326530612
23,0.02040816326530612
25,0.04081632653061224
27,0.04081632653061224
29,0.04081632653061224
1,0.02
3,0.02
5,0.02
7,0.04
9,0.06
11,0.08
13,0.06
15,0.06
17,0.06
19,0.04
21,0.04
23,0.04
25,0.04
27,0.04
29,0.04
1,0.02
3,0.02
5,0.02
7,0.02
9,0.02
11,0.06
13,0.02
15,0.06
17,0.06
19,0.06
21,0.06
23,0.08
25,0.06
27,0.06
29,0.08
1,0.05660377358490566
3,0.09433962264150944
5,0.09433962264150944
7,0.1320754716981132
9,0.1320754716981132
11,0.11320754716981132
13,0.1509433962264151
15,0.1509433962264151
17,0.1509433962264151
19,0.1509433962264151
21,0.1509433962264151
23,0.1509433962264151
25,0.1509433962264151
27,0.1509433962264151
